1118	8	[1.236647312, 1.2152259220000001, 1.2042845670000002, 1.23009347, 1.2430810829999999, 1.2335378430000001, 1.2484382870000001, 1.2124964520000001, 1.2362749499999999, 1.180178013, 1.212999902, 1.1909088900000002, 1.1802833910000001, 1.2161536149999999, 1.2200479489999998, 1.208942269, 1.214268461, 1.208841621, 1.223844625, 1.205497307, 1.2409636830000002, 1.2370684900000002, 1.2221728029999999, 1.246623211, 1.238007059, 1.228630695, 1.2350891069999999, 1.2066457490000002, 1.238218668, 1.2263370040000001, 1.19544084, 1.246131405, 1.210979288, 1.23238444, 1.223259652, 1.2181569159999999, 1.226744333, 1.233455405, 1.207912413, 1.220425193, ]
39	10	[1.4685331810000002, 1.4263108740000001, 1.4401681270000002, 1.453139685, 1.4645453240000001, 1.444370144, 1.460712633, 1.431259606, 1.4945755040000002, 1.4380115690000002, 1.494872311, 1.449974959, 1.4025944570000002, 1.393871322, 1.466399862, 1.4444735760000003, 1.4458321610000002, 1.4198641570000001, 1.432966291, 1.452395377, 1.3894332459999998, 1.4415644150000002, 1.443227989, 1.490881548, 1.4165169030000002, 1.429073987, 1.4596562780000002, 1.40877538, 1.4405242750000002, 1.456906044, 1.4422372900000002, 1.473074287, 1.481339964, 1.411844999, 1.397951962, 1.481811146, 1.476938703, 1.452934954, 1.426909398, 1.4197149390000001, ]
1209	8	[1.1954291080000001, 1.228943616, 1.236871098, 1.2678319409999999, 1.260240454, 1.2454654360000001, 1.235050872, 1.219228386, 1.253615769, 1.211444398, 1.2354528400000002, 1.2230215970000002, 1.2148460929999998, 1.218428436, 1.244211385, 1.2104720330000003, 1.2371640519999998, 1.2354154290000001, 1.21089639, 1.2390682960000001, 1.197163491, 1.1824575889999998, 1.258734999, 1.255878714, 1.245290141, 1.238657206, 1.241734905, 1.1911793720000001, 1.2569658110000002, 1.271984085, 1.234988665, 1.232576641, 1.254479339, 1.205825377, 1.21563338, 1.237205144, 1.2415383700000002, 1.2304698150000002, 1.2704290370000002, 1.213041841, ]
6384	8	[1.187095426, 1.219568084, 1.212964144, 1.238222546, 1.217662395, 1.186734351, 1.206151799, 1.235571638, 1.210348732, 1.2174746239999998, 1.191905113, 1.191175969, 1.2287641580000002, 1.20882711, 1.2262055090000001, 1.165311064, 1.2029215739999999, 1.1885382629999999, 1.2146559730000002, 1.209338974, 1.2086812230000001, 1.2228641569999998, 1.2254163980000001, 1.1617303730000001, 1.2199763110000001, 1.2056430360000001, 1.186968189, 1.223271772, 1.2010199010000002, 1.176468648, 1.2202833919999998, 1.155521119, 1.215430466, 1.206264864, 1.211095036, 1.182252437, 1.22251351, 1.2139753340000001, 1.215756348, 1.212450462, ]
154	10	[1.508718676, 1.4970500480000002, 1.468826332, 1.509206153, 1.4688249150000001, 1.485100986, 1.512411388, 1.506350666, 1.5239540200000001, 1.463546706, 1.527325473, 1.5513528859999999, 1.5566169149999998, 1.5347911289999998, 1.544904, 1.537140197, 1.462925313, 1.5122294779999998, 1.490441189, 1.4897853930000002, 1.531415092, 1.5239768710000001, 1.52284324, 1.506260551, 1.573315001, 1.547337555, 1.5434130209999999, 1.5429180109999998, 1.536799977, 1.498455514, 1.554819952, 1.5687468910000002, 1.508036839, 1.4873676439999999, 1.5111888980000001, 1.547032573, 1.5670268870000001, 1.536897224, 1.4724028759999999, 1.449697264, ]
14518	6	[1.149093093, 1.1371048209999999, 1.143311275, 1.193787236, 1.129146953, 1.1604783630000002, 1.152506236, 1.188412515, 1.147874027, 1.162263928, 1.146175778, 1.187549732, 1.168991611, 1.1636701520000001, 1.173682067, 1.17192103, 1.173350672, 1.144671081, 1.15533137, 1.176533172, 1.154743082, 1.1728991720000002, 1.1648608839999999, 1.186288271, 1.172422099, 1.183931801, 1.176788581, 1.170738846, 1.1679256729999998, 1.129952923, 1.181524273, 1.16059551, 1.191969552, 1.161448421, 1.167209879, 1.13612821, 1.160685123, 1.186501322, 1.19026224, 1.17758938, ]
5213	7	[1.174252895, 1.169497325, 1.1587659829999999, 1.145940123, 1.186666957, 1.179758616, 1.169396104, 1.2170799730000001, 1.154919991, 1.185766599, 1.1876509050000001, 1.156113064, 1.172887614, 1.169241285, 1.1883551860000001, 1.141865964, 1.147495216, 1.16795387, 1.171165535, 1.138578139, 1.167673291, 1.188451143, 1.1647972810000002, 1.1758745369999999, 1.176836072, 1.179913918, 1.162857181, 1.1791525689999998, 1.170625129, 1.1803538230000001, 1.190963124, 1.178341592, 1.1860664010000002, 1.138359541, 1.140527882, 1.158227129, 1.200002478, 1.173372612, 1.184323762, 1.179646047, ]
227	9	[1.525804346, 1.485203339, 1.476421644, 1.471104395, 1.4890599679999998, 1.494246464, 1.503149573, 1.44187156, 1.4783727960000002, 1.538668932, 1.4655348980000003, 1.560797535, 1.487966838, 1.4309513470000002, 1.466550728, 1.489456492, 1.4555651160000003, 1.490413452, 1.444733958, 1.442000707, 1.475205599, 1.487803743, 1.47715669, 1.459467635, 1.586876874, 1.467699525, 1.489788721, 1.5034508250000003, 1.4791083860000003, 1.486716233, 1.4785759660000002, 1.495415086, 1.489816916, 1.439787163, 1.507656393, 1.5190326060000001, 1.4888641420000002, 1.507592059, 1.417405973, 1.4881554490000002, ]
14335	1	[0.8796072099999999, 0.9099644279999999, 0.9000586689999999, 0.926196968, 0.91059951, 0.911400816, 0.9179583119999999, 0.906615962, 0.8873763299999999, 0.90735799, 0.889743672, 0.885790563, 0.9227406930000001, 0.907053091, 0.9113265919999999, 0.898439352, 0.902460505, 0.897856725, 0.8984362479999999, 0.9043621419999999, 0.9055740559999998, 0.892138541, 0.892020171, 0.8993501460000001, 0.907830837, 0.907312691, 0.88891258, 0.898080023, 0.896250324, 0.9003782509999999, 0.882733061, 0.898929291, 0.9162216969999999, 0.8918077809999999, 0.9137835220000001, 0.8952852499999999, 0.9202620890000001, 0.9015612359999999, 0.896898671, 0.9094868460000001, ]
6480	9	[1.302840866, 1.282585735, 1.2715626750000002, 1.2458499219999999, 1.2699612930000002, 1.3038481329999998, 1.2511134490000002, 1.3254868480000002, 1.297242546, 1.280909137, 1.309045709, 1.2920833040000002, 1.313335765, 1.251854586, 1.2960251619999998, 1.301319892, 1.2931361620000001, 1.289298502, 1.303408027, 1.304782705, 1.293968696, 1.2671261459999998, 1.280254328, 1.2643968550000002, 1.297598648, 1.284799726, 1.26071119, 1.300700693, 1.28306869, 1.307965681, 1.2930588829999998, 1.3047866690000003, 1.2985210600000001, 1.2745660690000002, 1.278192758, 1.306290998, 1.270520103, 1.304491119, 1.2769734, 1.243575362, ]
7563	6	[1.1506431689999999, 1.139638336, 1.159244752, 1.153500556, 1.131193402, 1.1534157649999999, 1.155278013, 1.1441184, 1.132736837, 1.138517614, 1.167307779, 1.164105326, 1.121157382, 1.159099312, 1.165436114, 1.159174051, 1.145444844, 1.150071718, 1.153919742, 1.141998038, 1.138815989, 1.160079119, 1.205517569, 1.1305090590000002, 1.1550496239999999, 1.1671098, 1.1332332090000001, 1.1461289899999998, 1.1726381900000002, 1.1578166319999998, 1.145248168, 1.1525181889999998, 1.1592379730000002, 1.152700692, 1.12834695, 1.1256641580000002, 1.1489636179999998, 1.166182709, 1.160971259, 1.166004121, ]
10706	7	[1.358543177, 1.3489467830000001, 1.3259943930000002, 1.3108486900000003, 1.344747216, 1.296485566, 1.323622926, 1.31725572, 1.3104803280000001, 1.321942033, 1.3013966960000003, 1.342560767, 1.334498556, 1.341762754, 1.3573458960000002, 1.335430874, 1.3457449970000002, 1.374551909, 1.3239810120000002, 1.307891854, 1.3680754620000002, 1.330524678, 1.365006989, 1.3317511150000003, 1.337235717, 1.347454606, 1.371498238, 1.294326887, 1.365779754, 1.368622051, 1.352980554, 1.3745408730000002, 1.3351225619999998, 1.4055851719999999, 1.375664384, 1.2932088249999998, 1.365128984, 1.347259073, 1.418443647, 1.335066221, ]
15799	3	[0.941505562, 0.9318443620000001, 0.958256268, 0.9299538439999999, 0.938980769, 0.9667135949999999, 0.9248529480000001, 0.9334801210000001, 0.942782292, 0.93597018, 0.939426819, 0.9396895770000001, 0.928433571, 0.9226284349999998, 0.9447801919999999, 0.9535156330000001, 0.9448809109999998, 0.9459530279999999, 0.9368503069999999, 0.9245806339999999, 0.9480916340000001, 0.9524424819999999, 0.970096928, 0.943006649, 0.954494401, 0.9558651, 0.9539746429999999, 0.9572542989999999, 0.938152596, 0.952461419, 0.9547100460000001, 0.9361250729999999, 0.925249384, 0.94263858, 0.944276331, 0.929110621, 0.9495933769999999, 0.9532141489999999, 0.9225023970000001, 0.9351863550000001, ]
6622	5	[1.190657411, 1.1907377239999999, 1.171734441, 1.176730284, 1.1425739860000002, 1.200387119, 1.163604741, 1.182646052, 1.146120547, 1.1496468709999998, 1.169679935, 1.1725693540000002, 1.1586788449999998, 1.189296741, 1.135547142, 1.222806742, 1.1842871149999998, 1.1745816820000001, 1.155571734, 1.177775992, 1.160745372, 1.183490492, 1.190021359, 1.186617254, 1.136244954, 1.163087311, 1.202435677, 1.181501318, 1.2082272120000002, 1.1901232469999998, 1.15094861, 1.144989408, 1.1903015209999999, 1.1782430010000002, 1.1995884220000002, 1.1988325549999999, 1.174520416, 1.2020084480000002, 1.185253779, 1.18088827, ]
